Category Name,Category Link
Fashion,https://www.amazon.eg/-/en/%D9%85%D9%88%D8%B6%D8%A9/b/?ie=UTF8&node=18018165031&ref_=nav_cs_fashion_955d436ca76f494aad7f471fb2881b08
Grocery,https://www.amazon.eg/-/en/gp/browse.html?node=26082334031&ref_=nav_cs_supermarket_cbf33ff24b1146ccba6facde5e029a7a
Perfumes,https://www.amazon.eg/-/en/%D8%B9%D8%B7%D9%88%D8%B1/b/?ie=UTF8&node=21826026031&ref_=nav_cs_perfumes_4137f7dabefe4b14b266f245ab4467db
Mobile Phones,https://www.amazon.eg/-/en/%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84%D8%A7%D8%AA/b/?ie=UTF8&node=21832883031&ref_=nav_cs_mobiles_e24d7d4672aa4597b8994a7ee18cbee1
Electronics,https://www.amazon.eg/-/en/%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A7%D8%AA/b/?ie=UTF8&node=18018102031&ref_=nav_cs_electronics_9737d319a4b14a13b9fd319688cd798f
Appliances,https://www.amazon.eg/-/en/%D8%A7%D9%84%D8%A3%D8%AC%D9%87%D8%B2%D8%A9-%D8%A7%D9%84%D9%85%D9%86%D8%B2%D9%84%D9%8A%D8%A9/b/?ie=UTF8&node=21863792031&ref_=nav_cs_appliances_220659457c534c1ba0637289b96099ad
Home,https://www.amazon.eg/-/en/%D8%A7%D9%84%D9%85%D9%86%D8%B2%D9%84-%D9%88%D8%A7%D9%84%D9%85%D8%B7%D8%A8%D8%AE/b/?ie=UTF8&node=18021933031&ref_=nav_cs_home_b39dd870c9d7420e8ee1865c1572da28
Coupons,https://www.amazon.eg/-/en/gp/browse.html?node=22887262031&ref_=nav_cs_coupons_94232bd6679b40adaea728bf9567ff3a
Video Games,https://www.amazon.eg/-/en/%D8%A3%D9%84%D8%B9%D8%A7%D8%A8-%D8%A7%D9%84%D9%81%D9%8A%D8%AF%D9%8A%D9%88/b/?ie=UTF8&node=18022560031&ref_=nav_cs_videogames_41af1a5448fa4d96927ccc0a2412eb4b
Toys & Games,https://www.amazon.eg/-/en/%D8%AF%D9%85%D9%89-%D9%88%D8%A3%D9%84%D8%B9%D8%A7%D8%A8/b/?ie=UTF8&node=18022503031&ref_=nav_cs_toys_2b1b64135e3a4be08efe5bc833c4b325
