Product Name,Product Currency,Product Price,Product Brand,Product Description,Product Page Link,Product Image Link,Category,Sub-Category,Rating,Source,Available,Delivery,Release Date
Clorox Clothes Stain Remover - 900ml,EGP,35,Clorox,"-Keeps your clothes fresh after wash 
-Great stains removal in 1 wash 
-Ensures perfect cleanliness and brings brightness 
",https://www.jumia.com.eg/clorox-clothes-stain-remover-900ml-17653083.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/035671/1.jpg?9518,Supermarket,Household Supplies,4.7 out of 5,Jumia,True,True,"September 30,2021"
Clorox 5X1 Disinfecting Household Cleaner - Sea Breeze - 700ml,EGP,21,Clorox,"-5X1 Disinfecting Household Cleaner 
-Sea Breeze 
-700ml 
",https://www.jumia.com.eg/clorox-5x1-disinfecting-household-cleaner-sea-breeze-700ml-17653065.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/035671/1.jpg?6624,Supermarket,Household Supplies,5 out of 5,Jumia,True,True,"September 30,2021"
Clorox Kitchen Cleaner Trigger - 500ml,EGP,34,Clorox,"-Removes tough stains to make surfaces sparkling clean 
-Leaves a pleasant citrus fragrance behind 
-Cleans and deodorizes any place in your home 
",https://www.jumia.com.eg/clorox-kitchen-cleaner-trigger-500ml-17653086.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/035671/1.jpg?6630,Supermarket,Household Supplies,4.7 out of 5,Jumia,True,True,"September 30,2021"
Harpic Waves Marine Splash Toilet Cleaner – 35gm,EGP,18,Harpic,"-Maintains a shiny toiletRemoves dirtAnti-limescaleLasts up to 4 weeksSpreads a Pleasant FragranceGenerates cleaning foam 
",https://www.jumia.com.eg/harpic-waves-marine-splash-toilet-cleaner-35gm-20134921.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/943102/1.jpg?9832,Supermarket,Household Supplies,4.7 out of 5,Jumia,True,True,"September 30,2021"
Clorox Kitchen Cleaner Trigger + Clorox Bathroom Cleaner Trigger – 500ml,EGP,65,Clorox,"-Brand: Clorox 
-Multi-purpose Kitchen Cleaner 
-Multi-purpose Bathroom Cleaner 
-500ml 
",https://www.jumia.com.eg/clorox-kitchen-cleaner-trigger-clorox-bathroom-cleaner-trigger-500ml-19942503.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/524991/1.jpg?5057,Supermarket,Household Supplies,4.6 out of 5,Jumia,True,True,"September 30,2021"
Dettol Cool Soap – 165g,EGP,13,Dettol,"-165 G 
-Bar Soaps enriched with our specially crafted Mint and bergamont 
-Revitalizing bar soap 
-Soaps suitable for daily use on face, body and hands 
-100% Better Germ Protection 
-Dermatologically Tested 
-Recommended by Doctors 
",https://www.jumia.com.eg/cool-soap-165g-dettol-mpg157678.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/606201/1.jpg?8466,Supermarket,Household Supplies,4.6 out of 5,Jumia,True,True,"September 30,2021"
Clorox 5X1 Disinfecting Household Cleaner - Sea Breeze 3.0L,EGP,55,Clorox,"-5X1 Disinfecting Household Cleaner 
-Sea Breeze 3.0L 
",https://www.jumia.com.eg/clorox-5x1-disinfecting-household-cleaner-sea-breeze-3.0l-17653071.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/035671/1.jpg?6611,Supermarket,Household Supplies,4.1 out of 5,Jumia,True,True,"September 30,2021"
Veroll Anti Septic Cleaner - 125 Ml - 8 Pcs + 2 Pcs,EGP,46,Veroll,"-veroll liquid for all cleaning purpose 
-special offer 8 pcs + 2 pcs gift 
-every pc 125 ml for 3 times with high concentrate 
-with pine smell for bathroom and floor 
-give the room and the toilets high anti-septic for harm bacteria 
-cap colour may vary 
",https://www.jumia.com.eg/veroll-anti-septic-cleaner-125-ml-8-pcs-2-pcs-2087049.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/07802/1.jpg?0198,Supermarket,Household Supplies,3.9 out of 5,Jumia,True,True,"September 30,2021"
Veroll Pine Scent Sprayer With Antiseptic - 550ml +  Gift Kitchen Towel,EGP,38,Veroll,"-veroll sprayer 550 ml + spare 550 ml + gift 
-antiseptic for surface kitchen and bathroom 
-with pine smell 
-clean all surface and brightness 
-gift towel 
-cap , sprayer and towel colour may vary 
",https://www.jumia.com.eg/pine-scent-sprayer-with-antiseptic-550ml-spare-550ml-gift-kitchen-towel-veroll-mpg157080.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/73774/1.jpg?3964,Supermarket,Household Supplies,4 out of 5,Jumia,True,True,"September 30,2021"
Veroll Window Cleaner Coconut Smell - 450ml - 2 Pcs + Cleaning Pad,EGP,28,Veroll,"-Veroll spray 
-Special offer 450 ml package, spare parts and cleaning pads for glass and surfaces 
-Fresh air for home for living room and carpet with coconut 
-Glass cleaner very good to be good seeing 
-Free cleaning towel to be easy to clean glass and bright 
-cap , sprayer and towel colour may vary 
",https://www.jumia.com.eg/window-cleaner-450ml-2-pcs-cleaning-pad-veroll-mpg149566.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/71102/1.jpg?6540,Supermarket,Household Supplies,4 out of 5,Jumia,True,True,"September 30,2021"
