Product Currency,Product Price,Product Page Link,Product Image Link,Category,Sub-Category
EGP,35,https://www.jumia.com.eg/clorox-clothes-stain-remover-900ml-17653083.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/035671/1.jpg?9518,Supermarket,Household Supplies
EGP,21,https://www.jumia.com.eg/clorox-5x1-disinfecting-household-cleaner-sea-breeze-700ml-17653065.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/035671/1.jpg?6624,Supermarket,Household Supplies
EGP,34,https://www.jumia.com.eg/clorox-kitchen-cleaner-trigger-500ml-17653086.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/035671/1.jpg?6630,Supermarket,Household Supplies
EGP,18,https://www.jumia.com.eg/harpic-waves-marine-splash-toilet-cleaner-35gm-20134921.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/943102/1.jpg?9832,Supermarket,Household Supplies
EGP,65,https://www.jumia.com.eg/clorox-kitchen-cleaner-trigger-clorox-bathroom-cleaner-trigger-500ml-19942503.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/524991/1.jpg?5057,Supermarket,Household Supplies
EGP,13,https://www.jumia.com.eg/cool-soap-165g-dettol-mpg157678.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/606201/1.jpg?8466,Supermarket,Household Supplies
EGP,55,https://www.jumia.com.eg/clorox-5x1-disinfecting-household-cleaner-sea-breeze-3.0l-17653071.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/035671/1.jpg?6611,Supermarket,Household Supplies
EGP,46,https://www.jumia.com.eg/veroll-anti-septic-cleaner-125-ml-8-pcs-2-pcs-2087049.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/07802/1.jpg?0198,Supermarket,Household Supplies
EGP,38,https://www.jumia.com.eg/pine-scent-sprayer-with-antiseptic-550ml-spare-550ml-gift-kitchen-towel-veroll-mpg157080.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/73774/1.jpg?3964,Supermarket,Household Supplies
EGP,28,https://www.jumia.com.eg/window-cleaner-450ml-2-pcs-cleaning-pad-veroll-mpg149566.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/71102/1.jpg?6540,Supermarket,Household Supplies
